_CONDOR_JOB_IWD /mnt/ws/home/jferiante
Cluster 14408
Process 4
RunningOn slot2@opt-a018.discovery.wisc.edu
python th_deep_belief_net.py pcba 4
Running Theano Learn Deep Belief Net for pcba, target: aid1457.........
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  -70.0067372054
Pre-training layer 0, epoch 1, cost  -56.5554449665
Pre-training layer 0, epoch 2, cost  -50.9294822828
Pre-training layer 0, epoch 3, cost  -47.3352376808
Pre-training layer 0, epoch 4, cost  -44.6457804185
Pre-training layer 0, epoch 5, cost  -42.4981824336
Pre-training layer 0, epoch 6, cost  -40.7691037031
Pre-training layer 0, epoch 7, cost  -39.3233905738
Pre-training layer 1, epoch 0, cost  -1351.19019576
Pre-training layer 1, epoch 1, cost  -1344.32292126
Pre-training layer 1, epoch 2, cost  -1344.30625896
Pre-training layer 1, epoch 3, cost  -1344.30607874
Pre-training layer 1, epoch 4, cost  -1344.30545203
Pre-training layer 1, epoch 5, cost  -1344.30546508
Pre-training layer 1, epoch 6, cost  -1344.30588272
Pre-training layer 1, epoch 7, cost  -1344.30498142
... getting the finetuning functions
... finetuning the model
epoch 1, minibatch 1358/1358, validation error 9.539823 %
     epoch 1, minibatch 1358/1358, best error 9.546460 %, best_auc: 0.500000
epoch 2, minibatch 1358/1358, validation error 9.539823 %
epoch 3, minibatch 1358/1358, validation error 9.539823 %
epoch 4, minibatch 1358/1358, validation error 9.539823 %
epoch 5, minibatch 1358/1358, validation error 9.539823 %
epoch 6, minibatch 1358/1358, validation error 9.539823 %
epoch 7, minibatch 1358/1358, validation error 9.539823 %
epoch 8, minibatch 1358/1358, validation error 9.539823 %
epoch 9, minibatch 1358/1358, validation error 9.539823 %
epoch 10, minibatch 1358/1358, validation error 9.539823 %
epoch 11, minibatch 1358/1358, validation error 9.539823 %
epoch 12, minibatch 1358/1358, validation error 9.539823 %
epoch 13, minibatch 1358/1358, validation error 9.539823 %
epoch 14, minibatch 1358/1358, validation error 9.539823 %
epoch 15, minibatch 1358/1358, validation error 9.539823 %
epoch 16, minibatch 1358/1358, validation error 9.539823 %
epoch 17, minibatch 1358/1358, validation error 9.539823 %
epoch 18, minibatch 1358/1358, validation error 9.539823 %
epoch 19, minibatch 1358/1358, validation error 9.539823 %
epoch 20, minibatch 1358/1358, validation error 9.539823 %
epoch 21, minibatch 1358/1358, validation error 9.539823 %
epoch 22, minibatch 1358/1358, validation error 9.539823 %
epoch 23, minibatch 1358/1358, validation error 9.539823 %
epoch 24, minibatch 1358/1358, validation error 9.539823 %
epoch 25, minibatch 1358/1358, validation error 9.539823 %
epoch 26, minibatch 1358/1358, validation error 9.539823 %
epoch 27, minibatch 1358/1358, validation error 9.539823 %
epoch 28, minibatch 1358/1358, validation error 9.539823 %
epoch 29, minibatch 1358/1358, validation error 9.539823 %
epoch 30, minibatch 1358/1358, validation error 9.539823 %
Optimization complete with best validation score of 9.539823 %, obtained at iteration 1358, with test performance 9.546460 %, and best_auc: 0.500000
runtime: 189425.92 secs.
