_CONDOR_JOB_IWD /mnt/ws/home/jferiante
Cluster 14408
Process 8
RunningOn slot2@opt-a015.discovery.wisc.edu
python th_deep_belief_net.py pcba 8
Running Theano Learn Deep Belief Net for pcba, target: aid1468.........
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  -68.5049728385
Pre-training layer 0, epoch 1, cost  -54.5668347274
Pre-training layer 0, epoch 2, cost  -48.882943455
Pre-training layer 0, epoch 3, cost  -45.2663252944
Pre-training layer 0, epoch 4, cost  -42.5594074329
Pre-training layer 0, epoch 5, cost  -40.4498267497
Pre-training layer 0, epoch 6, cost  -38.6943829559
Pre-training layer 0, epoch 7, cost  -37.1890053254
Pre-training layer 1, epoch 0, cost  -1351.81737603
Pre-training layer 1, epoch 1, cost  -1346.97342475
Pre-training layer 1, epoch 2, cost  -1346.97119795
Pre-training layer 1, epoch 3, cost  -1346.9706948
Pre-training layer 1, epoch 4, cost  -1346.97086751
Pre-training layer 1, epoch 5, cost  -1346.97033982
Pre-training layer 1, epoch 6, cost  -1346.97083798
Pre-training layer 1, epoch 7, cost  -1346.97070212
... getting the finetuning functions
... finetuning the model
epoch 1, minibatch 1809/1809, validation error 10.302326 %
     epoch 1, minibatch 1809/1809, best error 10.303987 %, best_auc: 0.500000
epoch 2, minibatch 1809/1809, validation error 10.302326 %
epoch 3, minibatch 1809/1809, validation error 10.302326 %
epoch 4, minibatch 1809/1809, validation error 10.302326 %
epoch 5, minibatch 1809/1809, validation error 10.302326 %
epoch 6, minibatch 1809/1809, validation error 10.302326 %
epoch 7, minibatch 1809/1809, validation error 10.302326 %
epoch 8, minibatch 1809/1809, validation error 10.302326 %
epoch 9, minibatch 1809/1809, validation error 10.302326 %
epoch 10, minibatch 1809/1809, validation error 10.302326 %
epoch 11, minibatch 1809/1809, validation error 10.302326 %
epoch 12, minibatch 1809/1809, validation error 10.302326 %
epoch 13, minibatch 1809/1809, validation error 10.302326 %
epoch 14, minibatch 1809/1809, validation error 10.302326 %
epoch 15, minibatch 1809/1809, validation error 10.302326 %
epoch 16, minibatch 1809/1809, validation error 10.302326 %
epoch 17, minibatch 1809/1809, validation error 10.302326 %
epoch 18, minibatch 1809/1809, validation error 10.302326 %
epoch 19, minibatch 1809/1809, validation error 10.302326 %
epoch 20, minibatch 1809/1809, validation error 10.302326 %
epoch 21, minibatch 1809/1809, validation error 10.302326 %
epoch 22, minibatch 1809/1809, validation error 10.302326 %
epoch 23, minibatch 1809/1809, validation error 10.302326 %
epoch 24, minibatch 1809/1809, validation error 10.302326 %
epoch 25, minibatch 1809/1809, validation error 10.302326 %
epoch 26, minibatch 1809/1809, validation error 10.302326 %
epoch 27, minibatch 1809/1809, validation error 10.302326 %
epoch 28, minibatch 1809/1809, validation error 10.302326 %
epoch 29, minibatch 1809/1809, validation error 10.302326 %
epoch 30, minibatch 1809/1809, validation error 10.302326 %
Optimization complete with best validation score of 10.302326 %, obtained at iteration 1809, with test performance 10.303987 %, and best_auc: 0.500000
runtime: 172530.44 secs.
