_CONDOR_JOB_IWD /mnt/ws/home/jferiante
Cluster 14408
Process 9
RunningOn slot1@opt-a016.discovery.wisc.edu
python th_deep_belief_net.py pcba 9
Running Theano Learn Deep Belief Net for pcba, target: aid1469.........
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  -69.3933222599
Pre-training layer 0, epoch 1, cost  -55.9133746593
Pre-training layer 0, epoch 2, cost  -50.3583222252
Pre-training layer 0, epoch 3, cost  -46.7722665342
Pre-training layer 0, epoch 4, cost  -44.1125053868
Pre-training layer 0, epoch 5, cost  -42.049446197
Pre-training layer 0, epoch 6, cost  -40.3133901084
Pre-training layer 0, epoch 7, cost  -38.8328896212
Pre-training layer 1, epoch 0, cost  -1348.73284672
Pre-training layer 1, epoch 1, cost  -1343.03671388
Pre-training layer 1, epoch 2, cost  -1343.03297259
Pre-training layer 1, epoch 3, cost  -1343.03265874
Pre-training layer 1, epoch 4, cost  -1343.03251179
Pre-training layer 1, epoch 5, cost  -1343.03240933
Pre-training layer 1, epoch 6, cost  -1343.03216957
Pre-training layer 1, epoch 7, cost  -1343.03256895
... getting the finetuning functions
... finetuning the model
epoch 1, minibatch 1687/1687, validation error 1.811388 %
     epoch 1, minibatch 1687/1687, best error 1.814947 %, best_auc: 0.500000
epoch 2, minibatch 1687/1687, validation error 1.811388 %
epoch 3, minibatch 1687/1687, validation error 1.811388 %
epoch 4, minibatch 1687/1687, validation error 1.811388 %
epoch 5, minibatch 1687/1687, validation error 1.811388 %
epoch 6, minibatch 1687/1687, validation error 1.811388 %
epoch 7, minibatch 1687/1687, validation error 1.811388 %
epoch 8, minibatch 1687/1687, validation error 1.811388 %
epoch 9, minibatch 1687/1687, validation error 1.811388 %
epoch 10, minibatch 1687/1687, validation error 1.811388 %
epoch 11, minibatch 1687/1687, validation error 1.811388 %
epoch 12, minibatch 1687/1687, validation error 1.811388 %
epoch 13, minibatch 1687/1687, validation error 1.811388 %
epoch 14, minibatch 1687/1687, validation error 1.811388 %
epoch 15, minibatch 1687/1687, validation error 1.811388 %
epoch 16, minibatch 1687/1687, validation error 1.811388 %
epoch 17, minibatch 1687/1687, validation error 1.811388 %
epoch 18, minibatch 1687/1687, validation error 1.811388 %
epoch 19, minibatch 1687/1687, validation error 1.811388 %
epoch 20, minibatch 1687/1687, validation error 1.811388 %
epoch 21, minibatch 1687/1687, validation error 1.811388 %
epoch 22, minibatch 1687/1687, validation error 1.811388 %
epoch 23, minibatch 1687/1687, validation error 1.811388 %
epoch 24, minibatch 1687/1687, validation error 1.811388 %
epoch 25, minibatch 1687/1687, validation error 1.811388 %
epoch 26, minibatch 1687/1687, validation error 1.811388 %
epoch 27, minibatch 1687/1687, validation error 1.811388 %
epoch 28, minibatch 1687/1687, validation error 1.811388 %
epoch 29, minibatch 1687/1687, validation error 1.811388 %
epoch 30, minibatch 1687/1687, validation error 1.811388 %
Optimization complete with best validation score of 1.811388 %, obtained at iteration 1687, with test performance 1.814947 %, and best_auc: 0.500000
runtime: 172385.12 secs.
